Cidade,Rua_Imovel,Numero_Imovel,Latitude,Longitude,Classe_Roboflow,Marca,Modelo_IA,Decada,Evidencia_Visual,Lona,Localizacao,Lead_Scoring,Link_Google_Maps,Alerta_Fachada,Arquivo_Foto
Campo Largo Centro,Inspecionado via Malha OSM (90°),353,-25.467633120000002,-49.528149045,car,Chevrolet,Monza,1980,"O veículo está em uma propriedade privada, possivelmente um corredor ao lado da casa. As lanternas traseiras e o formato geral são característicos do Chevrolet Monza dos anos 1980. A pintura parece estar em condição razoável, mas a imagem não permite uma avaliação detalhada.",Nao,Propriedade,95,"http://maps.google.com/?q=-25.467633120000002,-49.528149045",Limpo,/content/urban_barn_find_output_v25/fotos/SCORE_95_Chevrolet_00053.jpg
Campo Largo Centro,Inspecionado via Malha OSM (270°),388,-25.45669604,-49.50949744,truck,Volkswagen,Santana,1990,"O veículo está em um quintal, cercado por muros, indicando propriedade privada. A carroceria é de uma perua Santana, com frisos e lanternas características do modelo dos anos 90. A pintura parece estar em bom estado, sem sinais evidentes de ferrugem ou danos significativos.",Nao,Propriedade,95,"http://maps.google.com/?q=-25.45669604,-49.50949744",Limpo,/content/urban_barn_find_output_v25/fotos/SCORE_95_Volkswagen_00088.jpg
Campo Largo Centro,Inspecionado via Malha OSM (90°),394,-25.46337282,-49.521688935,car,Chevrolet,Opala,1970,"O carro possui frisos característicos e formato de lanternas que indicam ser um Chevrolet Opala. A pintura azul parece estar em bom estado, sem sinais visíveis de ferrugem ou amassados.",Nao,Propriedade,95,"http://maps.google.com/?q=-25.46337282,-49.521688935",Limpo,/content/urban_barn_find_output_v25/fotos/SCORE_95_Chevrolet_00094.jpg
Campo Largo Centro,Inspecionado via Malha OSM (270°),437,-25.45965520156286,-49.52503281681272,truck,Volkswagen,Kombi,Década de 1980,"O veículo está dentro de uma propriedade privada, atrás de grades. A forma da carroceria e a porta traseira são características da Kombi. A pintura parece estar em bom estado, sem sinais evidentes de ferrugem ou danos.",Nao,Propriedade,95,"http://maps.google.com/?q=-25.45965520156286,-49.52503281681272",Limpo,/content/urban_barn_find_output_v25/fotos/SCORE_95_Volkswagen_00137.jpg
Campo Largo Centro,Inspecionado via Malha OSM (90°),602,-25.46269866,-49.51670524,car,Chevrolet,Opala,Década de 1980,"O veículo está dentro de uma garagem, atrás de grades, indicando propriedade privada. A traseira e as lanternas são características de um Chevrolet Opala. A pintura parece estar em bom estado, sem sinais visíveis de ferrugem ou danos significativos.",Nao,Propriedade,95,"http://maps.google.com/?q=-25.46269866,-49.51670524",Limpo,/content/urban_barn_find_output_v25/fotos/SCORE_95_Chevrolet_00302.jpg
Campo Largo Centro,Inspecionado via Malha OSM (90°),627,-25.450613999999998,-49.517887619999996,car,Chevrolet,Monza,1980,"O veículo está em um quintal, cercado por grades, indicando propriedade privada. A lataria parece desgastada e a pintura está opaca, sugerindo falta de manutenção. O formato das lanternas e a grade frontal são características do Chevrolet Monza dos anos 1980.",Nao,Propriedade,95,"http://maps.google.com/?q=-25.450613999999998,-49.517887619999996",Limpo,/content/urban_barn_find_output_v25/fotos/SCORE_95_Chevrolet_00327.jpg
Campo Largo Centro,Inspecionado via Malha OSM (90°),659,-25.447234435,-49.538124295,car,Fiat,Uno,1980,"O veículo está dentro de uma propriedade privada, atrás de grades. A forma das lanternas traseiras e o design geral são característicos do Fiat Uno dos anos 1980. A pintura parece estar em bom estado, sem sinais visíveis de ferrugem ou danos significativos.",Nao,Propriedade,95,"http://maps.google.com/?q=-25.447234435,-49.538124295",Limpo,/content/urban_barn_find_output_v25/fotos/SCORE_95_Fiat_00359.jpg
Campo Largo Centro,Inspecionado via Malha OSM (270°),741,-25.450261785,-49.53406312,car,Chevrolet,Opala,Década de 1980,"O veículo está em uma propriedade privada, atrás de grades. A lanterna e o formato da grade são característicos do Chevrolet Opala. A pintura parece estar em bom estado, sem sinais visíveis de ferrugem ou danos significativos.",Nao,Propriedade,95,"http://maps.google.com/?q=-25.450261785,-49.53406312",Limpo,/content/urban_barn_find_output_v25/fotos/SCORE_95_Chevrolet_00441.jpg
Campo Largo Centro,Inspecionado via Malha OSM (270°),778,-25.46604387,-49.516905735,truck,Volkswagen,Kombi,1980,"O veículo está dentro de uma propriedade privada, atrás de um portão. A frente característica da Kombi, com faróis redondos e a grade frontal, confirma o modelo. A pintura parece desgastada, mas a estrutura geral parece intacta.",Nao,Propriedade,95,"http://maps.google.com/?q=-25.46604387,-49.516905735",Limpo,/content/urban_barn_find_output_v25/fotos/SCORE_95_Volkswagen_00478.jpg
Campo Largo Centro,Inspecionado via Malha OSM (90°),834,-25.44466642,-49.5260999,truck,Volkswagen,Kombi,1970,"O veículo é uma Kombi, identificada pelo formato característico da carroceria e das janelas. A pintura parece estar em condição razoável, mas há acúmulo de objetos ao redor, o que pode indicar falta de uso recente.",Nao,Propriedade,95,"http://maps.google.com/?q=-25.44466642,-49.5260999",Limpo,/content/urban_barn_find_output_v25/fotos/SCORE_95_Volkswagen_00534.jpg
Campo Largo Centro,Inspecionado via Malha OSM (270°),893,-25.44832662,-49.53566556,car,Volkswagen,Kombi,Década de 1970,"O veículo está em um quintal, com características clássicas da Kombi, como o formato arredondado e as lanternas traseiras típicas. A pintura parece desgastada, mas a estrutura geral está preservada.",Nao,Propriedade,95,"http://maps.google.com/?q=-25.44832662,-49.53566556",Limpo,/content/urban_barn_find_output_v25/fotos/SCORE_95_Volkswagen_00593.jpg
